$ python ./part1.py input.txt
2025-12-01 12:20:50,153 INFO   : Starting ./part1.py to read input.txt...
2025-12-01 12:20:50,153 INFO   : At goal, goal_count=1
2025-12-01 12:20:50,154 INFO   : At goal, goal_count=2
2025-12-01 12:20:50,154 INFO   : At goal, goal_count=3
2025-12-01 12:20:50,154 INFO   : At goal, goal_count=4
2025-12-01 12:20:50,154 INFO   : At goal, goal_count=5
2025-12-01 12:20:50,155 INFO   : At goal, goal_count=6
2025-12-01 12:20:50,155 INFO   : At goal, goal_count=7
2025-12-01 12:20:50,155 INFO   : At goal, goal_count=8
2025-12-01 12:20:50,155 INFO   : At goal, goal_count=9
2025-12-01 12:20:50,155 INFO   : At goal, goal_count=10
2025-12-01 12:20:50,156 INFO   : At goal, goal_count=11
2025-12-01 12:20:50,156 INFO   : At goal, goal_count=12
2025-12-01 12:20:50,156 INFO   : At goal, goal_count=13
2025-12-01 12:20:50,156 INFO   : At goal, goal_count=14
2025-12-01 12:20:50,156 INFO   : At goal, goal_count=15
2025-12-01 12:20:50,157 INFO   : At goal, goal_count=16
2025-12-01 12:20:50,157 INFO   : At goal, goal_count=17
2025-12-01 12:20:50,157 INFO   : At goal, goal_count=18
2025-12-01 12:20:50,157 INFO   : At goal, goal_count=19
2025-12-01 12:20:50,158 INFO   : At goal, goal_count=20
2025-12-01 12:20:50,158 INFO   : At goal, goal_count=21
2025-12-01 12:20:50,158 INFO   : At goal, goal_count=22
2025-12-01 12:20:50,158 INFO   : At goal, goal_count=23
2025-12-01 12:20:50,159 INFO   : At goal, goal_count=24
2025-12-01 12:20:50,159 INFO   : At goal, goal_count=25
2025-12-01 12:20:50,159 INFO   : At goal, goal_count=26
2025-12-01 12:20:50,159 INFO   : At goal, goal_count=27
2025-12-01 12:20:50,160 INFO   : At goal, goal_count=28
2025-12-01 12:20:50,160 INFO   : At goal, goal_count=29
2025-12-01 12:20:50,160 INFO   : At goal, goal_count=30
2025-12-01 12:20:50,161 INFO   : At goal, goal_count=31
2025-12-01 12:20:50,161 INFO   : At goal, goal_count=32
2025-12-01 12:20:50,161 INFO   : At goal, goal_count=33
2025-12-01 12:20:50,161 INFO   : At goal, goal_count=34
2025-12-01 12:20:50,162 INFO   : At goal, goal_count=35
2025-12-01 12:20:50,162 INFO   : At goal, goal_count=36
2025-12-01 12:20:50,162 INFO   : At goal, goal_count=37
2025-12-01 12:20:50,163 INFO   : At goal, goal_count=38
2025-12-01 12:20:50,163 INFO   : At goal, goal_count=39
2025-12-01 12:20:50,163 INFO   : At goal, goal_count=40
2025-12-01 12:20:50,164 INFO   : At goal, goal_count=41
2025-12-01 12:20:50,164 INFO   : At goal, goal_count=42
2025-12-01 12:20:50,164 INFO   : At goal, goal_count=43
2025-12-01 12:20:50,164 INFO   : At goal, goal_count=44
2025-12-01 12:20:50,165 INFO   : At goal, goal_count=45
2025-12-01 12:20:50,165 INFO   : At goal, goal_count=46
2025-12-01 12:20:50,165 INFO   : At goal, goal_count=47
